content,FRA51-M1,FRA54-M3,FRA52-M2,SFO50-M3,SFO5-M1,SFO20-M2,AMS51-M1,AMS52-M2,AMS53-M3,LHR50-M1,LHR61-M2,LHR62-M3,LHR51-M2,LHR52-M3,LHR4-M1,ZRH55-P1,MXP64-P2,MXP63-P1,MXP63-P2,MRS52-P4,MRS52-P3,VIE50-P1,MXP53-P3,MXP64-C2,ZRH50-C1
Off the beaten path_pbs_bottom_8,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
House of Gucci_url_top_movies," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
On Demand Ratings Reveal_haystack_bottom_2," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
PBS NewsHour_pbs_top_1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
No Time to Die_url_top_movies,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Music from Meadowmount_pbs_top_10,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
Local USA_pbs_top_7,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
Review 2019 How commemoration_haystack_bottom_1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
Gossip Girl OV_url_romance_tv,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
Remembering former Senate_haystack_bottom_6,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
myvideo london_my_content,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Woman arrested in air rage_haystack_bottom_7,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
Older Than the Crown_pbs_bottom_1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
Tom Clancys Without Remorse_url_top_movies,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Oklahoma Capitol Connection_pbs_bottom_5,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
myvideo zurich_my_content,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Romulus_url_drama_tv,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
ART21_pbs_top_4,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
Independent Lens_pbs_top_2,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
