content,FRA51-M1,FRA54-M3,FRA52-M2,SFO50-M3,SFO5-M1,SFO20-M2,AMS51-M1,AMS52-M2,AMS53-M3,LHR50-M1,LHR61-M2,LHR62-M3,LHR51-M2,LHR52-M3,LHR4-M1,ZRH55-P1,MXP64-P2,MXP63-P1,MXP63-P2,MRS52-P4,MRS52-P3,VIE50-P1,MXP53-P3,MXP64-C2,ZRH50-C1
Ryan Reynolds invest_haystack,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Changing Seas_pbs,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
myvideo california_my_content,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chtristmas at depaul_pbs,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
The Mentalist_url_top_tv,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
