name,url_chunk,content
https://developer.mozilla.org/favicon-48x48.cbbd161b.png,https://developer.mozilla.org/favicon-48x48.cbbd161b.png,mozilla
https://developer.mozilla.org/apple-touch-icon.6803c6f0.png,https://developer.mozilla.org/apple-touch-icon.6803c6f0.png,mozilla
https://developer.mozilla.org/opensearch.xml,https://developer.mozilla.org/opensearch.xml,mozilla
https://developer.mozilla.org/en-US/blog/rss.xml,https://developer.mozilla.org/en-US/blog/rss.xml,mozilla
https://developer.mozilla.org/static/css/main.6cbaafcb.css,https://developer.mozilla.org/static/css/main.6cbaafcb.css,mozilla
https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Forwarded/contributors.txt,https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Forwarded/contributors.txt,mozilla
https://developer.mozilla.org/en-US/blog/rss.xml,https://developer.mozilla.org/en-US/blog/rss.xml,mozilla
https://developer.mozilla.org/favicon-48x48.cbbd161b.png,https://developer.mozilla.org/favicon-48x48.cbbd161b.png,mozilla
https://developer.mozilla.org/apple-touch-icon.6803c6f0.png,https://developer.mozilla.org/apple-touch-icon.6803c6f0.png,mozilla
https://developer.mozilla.org/opensearch.xml,https://developer.mozilla.org/opensearch.xml,mozilla
https://developer.mozilla.org/en-US/blog/rss.xml,https://developer.mozilla.org/en-US/blog/rss.xml,mozilla
https://developer.mozilla.org/static/css/main.6cbaafcb.css,https://developer.mozilla.org/static/css/main.6cbaafcb.css,mozilla
https://github.com/mdn/browser-compat-data/issues/new?mdn-url=https%3A%2F%2Fdeveloper.mozilla.org%2Fja%2Fdocs%2FWeb%2FHTTP%2FHeaders%2FForwarded&metadata=%3C%21--+Do+not+make+changes+below+this+line+--%3E%0A%3Cdetails%3E%0A%3Csummary%3EMDN+page+report+details%3C%2Fsummary%3E%0A%0A*+Query%3A+%60http.headers.Forwarded%60%0A*+Report+started%3A+2023-06-30T16%3A30%3A38.112Z%0A%0A%3C%2Fdetails%3E&title=http.headers.Forwarded+-+%3CSUMMARIZE+THE+PROBLEM%3E&template=data-problem.yml,https://github.com/mdn/browser-compat-data/issues/new?mdn-url=https%3A%2F%2Fdeveloper.mozilla.org%2Fja%2Fdocs%2FWeb%2FHTTP%2FHeaders%2FForwarded&metadata=%3C%21--+Do+not+make+changes+below+this+line+--%3E%0A%3Cdetails%3E%0A%3Csummary%3EMDN+page+report+details%3C%2Fsummary%3E%0A%0A*+Query%3A+%60http.headers.Forwarded%60%0A*+Report+started%3A+2023-06-30T16%3A30%3A38.112Z%0A%0A%3C%2Fdetails%3E&title=http.headers.Forwarded+-+%3CSUMMARIZE+THE+PROBLEM%3E&template=data-problem.yml,mozilla
https://developer.mozilla.org/ja/docs/Web/HTTP/Headers/Forwarded/contributors.txt,https://developer.mozilla.org/ja/docs/Web/HTTP/Headers/Forwarded/contributors.txt,mozilla
https://developer.mozilla.org/en-US/blog/rss.xml,https://developer.mozilla.org/en-US/blog/rss.xml,mozilla
https://developer.mozilla.org/favicon-48x48.cbbd161b.png,https://developer.mozilla.org/favicon-48x48.cbbd161b.png,mozilla
https://developer.mozilla.org/apple-touch-icon.6803c6f0.png,https://developer.mozilla.org/apple-touch-icon.6803c6f0.png,mozilla
https://developer.mozilla.org/opensearch.xml,https://developer.mozilla.org/opensearch.xml,mozilla
https://developer.mozilla.org/en-US/blog/rss.xml,https://developer.mozilla.org/en-US/blog/rss.xml,mozilla
https://developer.mozilla.org/static/css/main.6cbaafcb.css,https://developer.mozilla.org/static/css/main.6cbaafcb.css,mozilla
https://developer.mozilla.org/ko/docs/Web/HTTP/Headers/Forwarded/contributors.txt,https://developer.mozilla.org/ko/docs/Web/HTTP/Headers/Forwarded/contributors.txt,mozilla
https://developer.mozilla.org/en-US/blog/rss.xml,https://developer.mozilla.org/en-US/blog/rss.xml,mozilla
https://developer.mozilla.org/favicon-48x48.cbbd161b.png,https://developer.mozilla.org/favicon-48x48.cbbd161b.png,mozilla
https://developer.mozilla.org/apple-touch-icon.6803c6f0.png,https://developer.mozilla.org/apple-touch-icon.6803c6f0.png,mozilla
https://developer.mozilla.org/opensearch.xml,https://developer.mozilla.org/opensearch.xml,mozilla
https://developer.mozilla.org/en-US/blog/rss.xml,https://developer.mozilla.org/en-US/blog/rss.xml,mozilla
https://developer.mozilla.org/static/css/main.6cbaafcb.css,https://developer.mozilla.org/static/css/main.6cbaafcb.css,mozilla
