timestamp(dd-mm-yyyy hh:mm:ss:ms),responseIP,latency(ms),Content-Type,Content-Length,Connection,Date,Last-Modified,ETag,x-amz-storage-class,x-amz-server-side-encryption,x-amz-meta-dv-checksum-sha-1,x-amz-meta-dv-checksum-md5,x-amz-meta-dv-checksum-sha-256,Accept-Ranges,Server,X-Cache,Via,X-Amz-Cf-Pop,X-Amz-Cf-Id,Age,url,info
25-05-2023_23:33:59:096308,108.138.199.35,12.669111000000122,video/mp4,2632054628,keep-alive,"Fri, 12 May 2023 17:48:58 GMT","Fri, 12 May 2023 08:07:12 GMT","""c03c6f0449b2422f9b1021383b4828c9-503""", ,AES256,97f00fbefbe068755060e55d8bd64ad9e676745e,4ef64285a06ae23ce6712d68bcc6818b,77d748ee603c349a03dc28ea83094ef4dbaf9a9cea4295cc1afcd00f8b5f4562,bytes,AmazonS3,Hit from cloudfront,1.1 c651b6f427de520af17b746abf0c7ee6.cloudfront.net (CloudFront),MXP64-P2,96d5S749HaSS1JzpRHyaz7VKnS8Ovu4GadeydV1pJ4nqQIRGcTVULA==,1136702,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$HFfn88x79JpN7GTdPBIsZ-Gf5_8~/f9b9/09a6/4d28/40f2-979f-f7198e303dd1/f58d50df-b38c-456a-ac07-59f78a4d1a9a_video_12.mp4?amznDtid=AOAGZA014O5RE,rings of power by PrimeVideo
25-05-2023_23:34:14:748130,108.138.199.35,14.089256999998412,video/mp4,2632054628,keep-alive,"Fri, 12 May 2023 17:48:58 GMT","Fri, 12 May 2023 08:07:12 GMT","""c03c6f0449b2422f9b1021383b4828c9-503""", ,AES256,97f00fbefbe068755060e55d8bd64ad9e676745e,4ef64285a06ae23ce6712d68bcc6818b,77d748ee603c349a03dc28ea83094ef4dbaf9a9cea4295cc1afcd00f8b5f4562,bytes,AmazonS3,Hit from cloudfront,1.1 fbc6f7f05a31b293d8eb3d08c7baf01c.cloudfront.net (CloudFront),MXP64-P2,Msx8QBVXcss0qVggnoFqG9yvXbH6Dkl1kMsXcTNim3bWurEvpsVurw==,1136717,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$HFfn88x79JpN7GTdPBIsZ-Gf5_8~/f9b9/09a6/4d28/40f2-979f-f7198e303dd1/f58d50df-b38c-456a-ac07-59f78a4d1a9a_video_12.mp4?amznDtid=AOAGZA014O5RE,rings of power by PrimeVideo
