timestamp(dd-mm-yyyy hh:mm:ss:ms),responseIP,latency(ms),Content-Type,Content-Length,Connection,Date,Last-Modified,ETag,x-amz-storage-class,x-amz-server-side-encryption,x-amz-meta-dv-checksum-sha-1,x-amz-meta-dv-checksum-md5,x-amz-meta-dv-checksum-sha-256,Accept-Ranges,Server,X-Cache,Via,X-Amz-Cf-Pop,X-Amz-Cf-Id,Age,url,info
25-05-2023_23:26:41:486065,18.165.185.120,7.546684000000248,image/png,244876,keep-alive,"Thu, 25 May 2023 15:11:39 GMT","Thu, 06 Apr 2023 09:50:25 GMT","""9b79ac63ddadcdb5bd38549823305915""", ,AES256, , , ,bytes,AmazonS3,Hit from cloudfront,1.1 633b37c269943f0b3472e0abe1a07b2c.cloudfront.net (CloudFront),ZRH55-P1,K34gFuPASBnp6YnNPdmxlfHXRkIyvADdXn7cjcujdELzorMyIxiVuw==,22503,https://d1smtvqebyyniu.cloudfront.net/screenshot,my image hosted on CloudFront
25-05-2023_23:27:14:614553,18.165.185.120,9.405115999996383,image/png,244876,keep-alive,"Thu, 25 May 2023 15:11:39 GMT","Thu, 06 Apr 2023 09:50:25 GMT","""9b79ac63ddadcdb5bd38549823305915""", ,AES256, , , ,bytes,AmazonS3,Hit from cloudfront,1.1 633b37c269943f0b3472e0abe1a07b2c.cloudfront.net (CloudFront),ZRH55-P1,45zfj8v1C0YYHPyffUHOcPoeoRMqC6I389Cj07LJ3lYs1Pc3Fu_nTA==,22536,https://d1smtvqebyyniu.cloudfront.net/screenshot,my image hosted on CloudFront
