name,url_titlepage,url_videopage,url_chunk,content
the-science-of-bubbles,https://www.magellantv.com/video/the-science-of-bubbles,https://www.magellantv.com/video/the-science-of-bubbles?type=v,https://d8dplxrhycocu.cloudfront.net/lJblauYw/video/fmp4/h265/720p_1900000/segment_0.m4s,magellantv_science-tech
sonic-magic,https://www.magellantv.com/video/sonic-magic,https://www.magellantv.com/video/sonic-magic?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d247b3_aaabb30e030873bf3eb3cd411075f61ae2368fe3/site/4pSWjNlc/media/I74tEQNr/version/I74tEQNr/manifest.ism/manifest-audio_eng=112000-video_eng=283328-2.ts,magellantv_science-tech
ticket-to-the-future-the-evolution-of-travel,https://www.magellantv.com/video/ticket-to-the-future-the-evolution-of-travel,https://www.magellantv.com/video/ticket-to-the-future-the-evolution-of-travel?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d247ba_35bffedb739ecbb976085e3cc9c43b86fae1c47c/site/4pSWjNlc/media/0ZjasqiU/version/0ZjasqiU/manifest.ism/manifest-audio_eng=112000-video_eng=266344-1.ts,magellantv_science-tech
can-we-live-with-robots,https://www.magellantv.com/video/can-we-live-with-robots,https://www.magellantv.com/video/can-we-live-with-robots?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d247be_ba37d1e2fc1d2870fe5aa1b9d4fbf680f8ea9fb6/site/4pSWjNlc/media/kW9mI2v4/version/kW9mI2v4/manifest.ism/manifest-audio_eng=112000-video_eng=230936-2.ts,magellantv_science-tech
mechanical-monsters,https://www.magellantv.com/video/mechanical-monsters,https://www.magellantv.com/video/mechanical-monsters?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d247c8_bf0e34c367069ec93b97c48e36eecccaf6ea479e/site/4pSWjNlc/media/0ulWRtEE/version/0ulWRtEE/manifest.ism/manifest-audio_eng=112000-video_eng=191128-2.ts,magellantv_science-tech
einstein-and-the-theory-of-relativity,https://www.magellantv.com/video/einstein-and-the-theory-of-relativity,https://www.magellantv.com/video/einstein-and-the-theory-of-relativity?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d247ce_2482f614cb307c546191dabf3c59e880ef2b5d0c/site/4pSWjNlc/media/vJvvJacV/version/vJvvJacV/manifest.ism/manifest-audio_eng=112000-video_eng=202760-3.ts,magellantv_science-tech
dont-panic-the-truth-about-population,https://www.magellantv.com/video/dont-panic-the-truth-about-population,https://www.magellantv.com/video/dont-panic-the-truth-about-population?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d247d2_e1d9f3f4070bf17cbea9b3ffc5ae307f40c95124/site/4pSWjNlc/media/OGi7E7jf/version/OGi7E7jf/manifest.ism/manifest-audio_eng=112000-video_eng=199296-1.ts,magellantv_science-tech
fukushima-robots-in-hell,https://www.magellantv.com/video/fukushima-robots-in-hell,https://www.magellantv.com/video/fukushima-robots-in-hell?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d247d8_71452f099fdf9dce376288c86ba05e27b59f5d44/site/4pSWjNlc/media/EX61qA30/version/L9nBr9BM/manifest.ism/manifest-audio_eng=112000-video_eng=189928-2.ts,magellantv_science-tech
solar-impulse-the-great-american-crossing,https://www.magellantv.com/video/solar-impulse-the-great-american-crossing,https://www.magellantv.com/video/solar-impulse-the-great-american-crossing?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d247de_38014b940f7f0497bdbb5782132e021e1c0c70c7/site/4pSWjNlc/media/uAIbxydt/version/uAIbxydt/manifest.ism/manifest-audio_eng=112000-video_eng=222560-1.ts,magellantv_science-tech
urban-diggers-malaysia,https://www.magellantv.com/video/urban-diggers-malaysia,https://www.magellantv.com/video/urban-diggers-malaysia?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d247e2_6196aeb6a466ef5b1241d876b362f4159c45cf42/site/4pSWjNlc/media/gIzDCaI8/version/gIzDCaI8/manifest.ism/manifest-audio_eng=112000-video_eng=266008-2.ts,magellantv_science-tech
airline-disaster-crash-of-the-century-,https://www.magellantv.com/video/airline-disaster-crash-of-the-century-,https://www.magellantv.com/video/airline-disaster-crash-of-the-century-?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d247e7_a611262a0a02a286406278abf852842ff7ce9ca0/site/4pSWjNlc/media/GWsdzqfy/version/GWsdzqfy/manifest.ism/manifest-audio_eng=112000-video_eng=202280-1.ts,magellantv_science-tech
how-islam-built-the-modern-world,https://www.magellantv.com/video/how-islam-built-the-modern-world,https://www.magellantv.com/video/how-islam-built-the-modern-world?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d2474f_2a334ab1922c6d8b4abd1a7cef0e0f5809e0a910/site/4pSWjNlc/media/F7iwleej/version/jgBYK0yX/manifest.ism/manifest-audio_eng=112001-video_eng=1406294-8.ts,magellantv_science-tech
sewers-of-paris-the-hidden-city,https://www.magellantv.com/video/sewers-of-paris-the-hidden-city,https://www.magellantv.com/video/sewers-of-paris-the-hidden-city?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d24755_6448f39421dea9ee3d55a40dd6c51c4eef21c20b/site/4pSWjNlc/media/OrJC5qEl/version/IEYXJ6Jl/manifest.ism/manifest-audio_eng=112000-video_eng=204910-3.ts,magellantv_science-tech
battle-for-blood,https://www.magellantv.com/video/battle-for-blood,https://www.magellantv.com/video/battle-for-blood?type=v,https://d8dplxrhycocu.cloudfront.net/Va6MulZa/video/fmp4/h265/720p_1900000/segment_0.m4s,magellantv_science-tech
the-crispr-revolution,https://www.magellantv.com/video/the-crispr-revolution,https://www.magellantv.com/video/the-crispr-revolution?type=v,https://d8dplxrhycocu.cloudfront.net/eyAMJGqs/video/fmp4/h265/720p_1900000/segment_0.m4s,magellantv_science-tech
uncle-jack-manhattan-project-and-beyond,https://www.magellantv.com/video/uncle-jack-manhattan-project-and-beyond,https://www.magellantv.com/video/uncle-jack-manhattan-project-and-beyond?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d24768_ba8ed82dee15c836ea3cee5f1197fcd466735414/site/4pSWjNlc/media/r2JYTReU/version/r2JYTReU/manifest.ism/manifest-audio_eng=112000-video_eng=178346-2.ts,magellantv_science-tech
cyberwork-and-the-american-dream,https://www.magellantv.com/video/cyberwork-and-the-american-dream,https://www.magellantv.com/video/cyberwork-and-the-american-dream?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d2476e_f9184f7871db3f80401a4e9e100fa79b4911de15/site/4pSWjNlc/media/krutvKWx/version/krutvKWx/manifest.ism/manifest-audio_eng=112000-video_eng=517791-4.ts,magellantv_science-tech
the-new-fire-the-nuclear-revolution,https://www.magellantv.com/video/the-new-fire-the-nuclear-revolution,https://www.magellantv.com/video/the-new-fire-the-nuclear-revolution?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d24773_134b8664bc9e37eb704d28436b21af0e9ca733df/site/4pSWjNlc/media/VhvOEk3H/version/VhvOEk3H/manifest.ism/manifest-audio_eng=112000-video_eng=535154-4.ts,magellantv_science-tech
ai-vs-human-brain-the-final-showdown,https://www.magellantv.com/video/ai-vs-human-brain-the-final-showdown,https://www.magellantv.com/video/ai-vs-human-brain-the-final-showdown?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d24777_1fc5b9e483c836be0f52d834872342f389461e4d/site/4pSWjNlc/media/zTSeFBRh/version/zTSeFBRh/manifest.ism/manifest-audio_eng=112000-video_eng=549963-5.ts,magellantv_science-tech
tailored-humanity-a-revolution-in-genetics,https://www.magellantv.com/video/tailored-humanity-a-revolution-in-genetics,https://www.magellantv.com/video/tailored-humanity-a-revolution-in-genetics?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d2477c_0d21326022833b3f6efacc29c11d5590dbfa45fb/site/4pSWjNlc/media/FdIMsRN5/version/FdIMsRN5/manifest.ism/manifest-audio_eng=112000-video_eng=454688-4.ts,magellantv_science-tech
harbor-of-the-future,https://www.magellantv.com/video/harbor-of-the-future,https://www.magellantv.com/video/harbor-of-the-future?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d24783_d88e2d7514adf2c37bb9a526db2f4c138ff49928/site/4pSWjNlc/media/HMLsYNoB/version/HMLsYNoB/manifest.ism/manifest-audio_eng=112000-video_eng=233404-2.ts,magellantv_science-tech
funny-side-of-science,https://www.magellantv.com/video/funny-side-of-science,https://www.magellantv.com/video/funny-side-of-science?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d2478b_a45885e4e6713ddabefd71375b17aba07e765c52/site/4pSWjNlc/media/5mlNphEX/version/5mlNphEX/manifest.ism/manifest-audio_eng=112000-video_eng=1367669-8.ts,magellantv_science-tech
the-nature-of-invention,https://www.magellantv.com/video/the-nature-of-invention,https://www.magellantv.com/video/the-nature-of-invention?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d2478f_0a631d34e4add97e5b8f99132ddfb870d9664340/site/4pSWjNlc/media/IbZtmclH/version/IbZtmclH/manifest.ism/manifest-audio_eng=112000-video_eng=507592-4.ts,magellantv_science-tech
