name,url_titlepage,url_videopage,url_chunk,content
the-bob-ross-experience,https://www.magellantv.com/video/the-bob-ross-experience,https://www.magellantv.com/video/the-bob-ross-experience?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d25289_5849c2a88a3a81072ac10f133b56908087e72836/site/4pSWjNlc/media/Z7v2Yx7i/version/iufRWdex/manifest.ism/manifest-audio_eng=112000-video_eng=1165610-8.ts,magellantv_art-culture
discovering-dali,https://www.magellantv.com/video/discovering-dali,https://www.magellantv.com/video/discovering-dali?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d2528e_47051834ba3facec591300fd6f853a51f7228198/site/4pSWjNlc/media/pvD8L9EO/version/82DN52Pz/manifest.ism/manifest-audio_eng=112000-video_eng=247573-2.ts,magellantv_art-culture
playing-frisbee-in-north-korea,https://www.magellantv.com/video/playing-frisbee-in-north-korea,https://www.magellantv.com/video/playing-frisbee-in-north-korea?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d25293_1b58e03047eb06ec81a40fb3452f159904192864/site/4pSWjNlc/media/OpzlfBEI/version/hPRoWzEp/manifest.ism/manifest-audio_eng=112001-video_eng=243336-1.ts,magellantv_art-culture
25-weeks-a-wisconsin-pizza-harvest,https://www.magellantv.com/video/25-weeks-a-wisconsin-pizza-harvest,https://www.magellantv.com/video/25-weeks-a-wisconsin-pizza-harvest?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d25298_bcfcb0ad048e71630d13fcc24d512d566f939390/site/4pSWjNlc/media/QzOIZimY/version/TBygmk40/manifest.ism/manifest-audio_eng=112000-video_eng=240882-1.ts,magellantv_art-culture
chambord-the-leonardo-da-vinci-mystery,https://www.magellantv.com/video/chambord-the-leonardo-da-vinci-mystery,https://www.magellantv.com/video/chambord-the-leonardo-da-vinci-mystery?type=v,https://d8dplxrhycocu.cloudfront.net/qPDLOOaZ/video/fmp4/h265/720p_1900000/segment_0.m4s,magellantv_art-culture
dollywood-or-bust,https://www.magellantv.com/video/dollywood-or-bust,https://www.magellantv.com/video/dollywood-or-bust?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d252a4_5b7aa438e30289e81e7da32ae5b554fbbaca88eb/site/4pSWjNlc/media/Y2C4MMOf/version/uamYPVoW/manifest.ism/manifest-audio_eng=112000-video_eng=276065-1.ts,magellantv_art-culture
titian-behind-closed-doors,https://www.magellantv.com/video/titian-behind-closed-doors,https://www.magellantv.com/video/titian-behind-closed-doors?type=v,https://d8dplxrhycocu.cloudfront.net/UEleBEmB/video/fmp4/h265/720p_1900000/segment_0.m4s,magellantv_art-culture
big-wave-surfers,https://www.magellantv.com/video/big-wave-surfers,https://www.magellantv.com/video/big-wave-surfers?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d252b3_5a761071c4e0d1a36a68a2e2780aeadd35af1023/site/4pSWjNlc/media/wB2GmVG3/version/wB2GmVG3/manifest.ism/manifest-audio_eng=112000-video_eng=1727906-6.ts,magellantv_art-culture
1967-summer-of-love,https://www.magellantv.com/video/1967-summer-of-love,https://www.magellantv.com/video/1967-summer-of-love?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d252b8_be06b8f1dfcd0d78a07110854ab7d531403ca867/site/4pSWjNlc/media/5n9cVZ8o/version/5n9cVZ8o/manifest.ism/manifest-audio_eng=112000-video_eng=224825-1.ts,magellantv_art-culture
gauguin-a-dangerous-life,https://www.magellantv.com/video/gauguin-a-dangerous-life,https://www.magellantv.com/video/gauguin-a-dangerous-life?type=v,https://d8dplxrhycocu.cloudfront.net/j3gobzPK/video/fmp4/h265/720p_1900000/segment_0.m4s,magellantv_art-culture
bob-ross-the-happy-painter,https://www.magellantv.com/video/bob-ross-the-happy-painter,https://www.magellantv.com/video/bob-ross-the-happy-painter?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d252c2_89ba8e8fee013474d295428f3bfa90960dde3fba/site/4pSWjNlc/media/s7mMUDKS/version/s7mMUDKS/manifest.ism/manifest-audio_eng=112000-video_eng=449609-4.ts,magellantv_art-culture
agatha-christie-code,https://www.magellantv.com/video/agatha-christie-code,https://www.magellantv.com/video/agatha-christie-code?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d252c7_ea22e558334947b0e7b32a05d8416f4a3a042d99/site/4pSWjNlc/media/33Vcy0C5/version/33Vcy0C5/manifest.ism/manifest-audio_eng=112000-video_eng=186002-2.ts,magellantv_art-culture
the-book-makers,https://www.magellantv.com/video/the-book-makers,https://www.magellantv.com/video/the-book-makers?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d252cb_6778681301fa14a33ee54795c3df1b857ba39f50/site/4pSWjNlc/media/6gZOSZ4k/version/6gZOSZ4k/manifest.ism/manifest-audio_eng=112000-video_eng=201209-3.ts,magellantv_art-culture
renoir-and-the-girl-with-a-blue-ribbon,https://www.magellantv.com/video/renoir-and-the-girl-with-a-blue-ribbon,https://www.magellantv.com/video/renoir-and-the-girl-with-a-blue-ribbon?type=v,https://d8dplxrhycocu.cloudfront.net/UZ6iTXjT/video/fmp4/h265/720p_1900000/segment_0.m4s,magellantv_art-culture
making-war-horse,https://www.magellantv.com/video/making-war-horse,https://www.magellantv.com/video/making-war-horse?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d252dd_55eee64b7af4d2a28e10a267859ba23b1f9d4e48/site/4pSWjNlc/media/4JUvH7PM/version/4JUvH7PM/manifest.ism/manifest-audio_eng=112000-video_eng=260873-1.ts,magellantv_art-culture
angola-music-school,https://www.magellantv.com/video/angola-music-school,https://www.magellantv.com/video/angola-music-school?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d252e6_2468da3ba7a2cc5cd7c707bc2e466b077eb5b6d1/site/4pSWjNlc/media/WjiV7nJz/version/WjiV7nJz/manifest.ism/manifest-audio_eng=112000-video_eng=276356-2.ts,magellantv_art-culture
the-search-for-the-mona-lisa,https://www.magellantv.com/video/the-search-for-the-mona-lisa,https://www.magellantv.com/video/the-search-for-the-mona-lisa?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d252ea_e40e0e583c76c1f0dd52d0b6c1ef041760cb4649/site/4pSWjNlc/media/fJytpgDD/version/fJytpgDD/manifest.ism/manifest-audio_eng=112000-video_eng=240327-1.ts,magellantv_art-culture
marketing-the-messiah,https://www.magellantv.com/video/marketing-the-messiah,https://www.magellantv.com/video/marketing-the-messiah?type=v,https://d8dplxrhycocu.cloudfront.net/nuhbd3Pw/video/fmp4/h265/720p_1900000/segment_0.m4s,magellantv_art-culture
dance-of-the-severed-head,https://www.magellantv.com/video/dance-of-the-severed-head,https://www.magellantv.com/video/dance-of-the-severed-head?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d252f8_808e4816a355075692499dc72efcccbb06fd1e94/site/4pSWjNlc/media/oX9c0K29/version/oX9c0K29/manifest.ism/manifest-audio_eng=112000-video_eng=297384-1.ts,magellantv_art-culture
