timestamp(dd-mm-yyyy hh:mm:ss:ms),responseIP,latency(ms),traceroute_ips,traceroute_hnames,hop count,Content-Type,Content-Length,Connection,Date,Last-Modified,ETag,x-amz-storage-class,x-amz-server-side-encryption,x-amz-meta-dv-checksum-sha-1,x-amz-meta-dv-checksum-md5,x-amz-meta-dv-checksum-sha-256,Accept-Ranges,Server,X-Server-IP,X-Server-IP_hops,X-Server-IP_hnames,X-Server-IP_hopcount,X-Cache,Via,X-Amz-Cf-Pop,X-Amz-Cf-Id,Age,url,info,reasponseHeaders
21-06-2023_18:05:48:340585,54.182.218.101,10.0058599999997,"['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '*', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.218.101']","['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '*', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.218.101']",23,video/mp4,367346452,keep-alive,"Mon, 11 Oct 2021 11:16:32 GMT","Thu, 29 Apr 2021 04:07:34 GMT","""cab418417f3aea5426a95bfd341db6a9-71""",INTELLIGENT_TIERING, ,4530717be1f913534d97440f14ce1ac84bf58d23,f4e9181c8d94f973302877339a88b6b0,c249edace66219e82b9ca1a975c5d76247a4f83131212871efe86aea5960b4db,bytes,AmazonS3,54.182.180.10,"['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.180.10']","['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.180.10']",23,Hit from cloudfront,1.1 eb304385da1926ac46a3e40b6a066708.cloudfront.net (CloudFront),FRA51-M1,7bNihXJjzfNtCz3C88GLPmq4PYIZWX_1teN4B1GECFcx0j7SVo1U_A==,21874274,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$xPVGpVp1bXJ6CPTG1yxbY6r45XM~/70a0/994d/e37e/48e4-accc-b12c97e9d202/6a05cef7-3fd7-4c53-932e-b1074a884292_video_8.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '367346452', 'Connection': 'keep-alive', 'Date': 'Mon, 11 Oct 2021 11:16:32 GMT', 'Last-Modified': 'Thu, 29 Apr 2021 04:07:34 GMT', 'ETag': '""cab418417f3aea5426a95bfd341db6a9-71""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '4530717be1f913534d97440f14ce1ac84bf58d23', 'x-amz-meta-dv-checksum-md5': 'f4e9181c8d94f973302877339a88b6b0', 'x-amz-meta-dv-checksum-sha-256': 'c249edace66219e82b9ca1a975c5d76247a4f83131212871efe86aea5960b4db', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 eb304385da1926ac46a3e40b6a066708.cloudfront.net (CloudFront)', 'X-Server-IP': '54.182.180.10', 'X-Amz-Cf-Pop': 'FRA51-M1', 'X-Amz-Cf-Id': '7bNihXJjzfNtCz3C88GLPmq4PYIZWX_1teN4B1GECFcx0j7SVo1U_A==', 'Age': '21874274'}"
21-06-2023_18:21:35:788489,54.182.220.122,10.12217299999918,"['128.178.122.1', '*', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '*', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.220.122']","['128.178.122.1', '*', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '*', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.220.122']",23,video/mp4,367346452,keep-alive,"Mon, 11 Oct 2021 11:16:32 GMT","Thu, 29 Apr 2021 04:07:34 GMT","""cab418417f3aea5426a95bfd341db6a9-71""",INTELLIGENT_TIERING, ,4530717be1f913534d97440f14ce1ac84bf58d23,f4e9181c8d94f973302877339a88b6b0,c249edace66219e82b9ca1a975c5d76247a4f83131212871efe86aea5960b4db,bytes,AmazonS3,54.182.185.202,"['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.185.202']","['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.185.202']",23,Hit from cloudfront,1.1 568d97cd9efef635c1a92a7abdaa31a2.cloudfront.net (CloudFront),FRA54-M3,lC-rKtNTN-H_gtCZCKmgFhA7diPrxVdThNqlp6qPwzENGZ9cpDP3kA==,21875221,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$xPVGpVp1bXJ6CPTG1yxbY6r45XM~/70a0/994d/e37e/48e4-accc-b12c97e9d202/6a05cef7-3fd7-4c53-932e-b1074a884292_video_8.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '367346452', 'Connection': 'keep-alive', 'Date': 'Mon, 11 Oct 2021 11:16:32 GMT', 'Last-Modified': 'Thu, 29 Apr 2021 04:07:34 GMT', 'ETag': '""cab418417f3aea5426a95bfd341db6a9-71""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '4530717be1f913534d97440f14ce1ac84bf58d23', 'x-amz-meta-dv-checksum-md5': 'f4e9181c8d94f973302877339a88b6b0', 'x-amz-meta-dv-checksum-sha-256': 'c249edace66219e82b9ca1a975c5d76247a4f83131212871efe86aea5960b4db', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 568d97cd9efef635c1a92a7abdaa31a2.cloudfront.net (CloudFront)', 'X-Server-IP': '54.182.185.202', 'X-Amz-Cf-Pop': 'FRA54-M3', 'X-Amz-Cf-Id': 'lC-rKtNTN-H_gtCZCKmgFhA7diPrxVdThNqlp6qPwzENGZ9cpDP3kA==', 'Age': '21875221'}"
21-06-2023_18:22:46:068138,54.182.219.121,9.928508999990981,"['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '*', '130.59.36.246', '130.59.38.201', '*', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.219.121']","['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '*', '130.59.36.246', '130.59.38.201', '*', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.219.121']",23,video/mp4,367346452,keep-alive,"Mon, 11 Oct 2021 11:16:32 GMT","Thu, 29 Apr 2021 04:07:34 GMT","""cab418417f3aea5426a95bfd341db6a9-71""",INTELLIGENT_TIERING, ,4530717be1f913534d97440f14ce1ac84bf58d23,f4e9181c8d94f973302877339a88b6b0,c249edace66219e82b9ca1a975c5d76247a4f83131212871efe86aea5960b4db,bytes,AmazonS3,54.182.183.207,"['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.183.207']","['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.183.207']",23,Hit from cloudfront,1.1 15188cee9d1a12e0a577bd01630533a4.cloudfront.net (CloudFront),FRA52-M2,6XPCZjnRLCEV1y0i9NWlpbpyLPnJqIy14aPssjb3ArN_aOawPv5R0w==,21875292,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$xPVGpVp1bXJ6CPTG1yxbY6r45XM~/70a0/994d/e37e/48e4-accc-b12c97e9d202/6a05cef7-3fd7-4c53-932e-b1074a884292_video_8.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '367346452', 'Connection': 'keep-alive', 'Date': 'Mon, 11 Oct 2021 11:16:32 GMT', 'Last-Modified': 'Thu, 29 Apr 2021 04:07:34 GMT', 'ETag': '""cab418417f3aea5426a95bfd341db6a9-71""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '4530717be1f913534d97440f14ce1ac84bf58d23', 'x-amz-meta-dv-checksum-md5': 'f4e9181c8d94f973302877339a88b6b0', 'x-amz-meta-dv-checksum-sha-256': 'c249edace66219e82b9ca1a975c5d76247a4f83131212871efe86aea5960b4db', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 15188cee9d1a12e0a577bd01630533a4.cloudfront.net (CloudFront)', 'X-Server-IP': '54.182.183.207', 'X-Amz-Cf-Pop': 'FRA52-M2', 'X-Amz-Cf-Id': '6XPCZjnRLCEV1y0i9NWlpbpyLPnJqIy14aPssjb3ArN_aOawPv5R0w==', 'Age': '21875292'}"
21-06-2023_19:04:22:665991,54.240.131.114,156.13277299999595,"['*', '*', '10.0.2.6', '*', '*', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '*', '213.242.73.73', '4.69.133.234', '*', '154.54.27.169', '154.54.82.245', '154.54.7.129', '154.54.44.169', '154.54.31.89', '154.54.42.97', '154.54.44.141', '154.54.43.14', '38.88.224.218', '52.93.47.153', '15.230.28.137', '*', '*', '*', '*', '*', '54.240.131.114']","['*', '*', '10.0.2.6', '*', '*', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '*', '213.242.73.73', '4.69.133.234', '*', '154.54.27.169', '154.54.82.245', '154.54.7.129', '154.54.44.169', '154.54.31.89', '154.54.42.97', '154.54.44.141', '154.54.43.14', '38.88.224.218', '52.93.47.153', '15.230.28.137', '*', '*', '*', '*', '*', '54.240.131.114']",30,video/mp4,367346452,keep-alive,"Wed, 21 Jun 2023 17:04:24 GMT","Thu, 29 Apr 2021 04:07:34 GMT","""cab418417f3aea5426a95bfd341db6a9-71""",INTELLIGENT_TIERING, ,4530717be1f913534d97440f14ce1ac84bf58d23,f4e9181c8d94f973302877339a88b6b0,c249edace66219e82b9ca1a975c5d76247a4f83131212871efe86aea5960b4db,bytes,AmazonS3,54.239.214.233,"['128.178.122.1', '10.0.2.168', '*', '*', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '213.242.73.73', '4.69.133.234', '*', '*', '154.54.82.245', '*', '*', '154.54.31.89', '154.54.42.97', '154.54.44.141', '154.54.43.14', '38.88.224.218', '*', '*', '*', '*', '*', '*', '*', '*']",[],0,Miss from cloudfront,1.1 9ac27935799e3bb27f6631c7c889a852.cloudfront.net (CloudFront),SFO50-M3,XOzRmkX4iIBHgGLHe5PDEgpBWs0CKjsbJsmmytLrH_dkKpwvAKheuQ==, ,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$xPVGpVp1bXJ6CPTG1yxbY6r45XM~/70a0/994d/e37e/48e4-accc-b12c97e9d202/6a05cef7-3fd7-4c53-932e-b1074a884292_video_8.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '367346452', 'Connection': 'keep-alive', 'Date': 'Wed, 21 Jun 2023 17:04:24 GMT', 'Last-Modified': 'Thu, 29 Apr 2021 04:07:34 GMT', 'ETag': '""cab418417f3aea5426a95bfd341db6a9-71""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '4530717be1f913534d97440f14ce1ac84bf58d23', 'x-amz-meta-dv-checksum-md5': 'f4e9181c8d94f973302877339a88b6b0', 'x-amz-meta-dv-checksum-sha-256': 'c249edace66219e82b9ca1a975c5d76247a4f83131212871efe86aea5960b4db', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Miss from cloudfront', 'Via': '1.1 9ac27935799e3bb27f6631c7c889a852.cloudfront.net (CloudFront)', 'X-Server-IP': '54.239.214.233', 'X-Amz-Cf-Pop': 'SFO50-M3', 'X-Amz-Cf-Id': 'XOzRmkX4iIBHgGLHe5PDEgpBWs0CKjsbJsmmytLrH_dkKpwvAKheuQ=='}"
21-06-2023_19:05:55:407725,54.240.129.122,155.73213900000837,"['128.178.122.1', '*', '*', '*', '*', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '213.242.73.73', '4.69.133.234', '*', '66.28.4.197', '154.54.47.49', '154.54.6.221', '154.54.42.165', '154.54.5.89', '154.54.41.145', '154.54.44.137', '154.54.43.10', '38.88.224.186', '52.93.47.137', '15.230.28.137', '*', '*', '*', '*', '*', '*']",[],0,video/mp4,367346452,keep-alive,"Wed, 21 Jun 2023 17:04:24 GMT","Thu, 29 Apr 2021 04:07:34 GMT","""cab418417f3aea5426a95bfd341db6a9-71""",INTELLIGENT_TIERING, ,4530717be1f913534d97440f14ce1ac84bf58d23,f4e9181c8d94f973302877339a88b6b0,c249edace66219e82b9ca1a975c5d76247a4f83131212871efe86aea5960b4db,bytes,AmazonS3,54.239.210.230,"['128.178.122.1', '10.0.2.168', '*', '10.0.2.181', '*', '*', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '213.242.73.73', '4.69.133.234', '*', '*', '154.54.47.49', '154.54.6.221', '154.54.42.165', '154.54.5.89', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*']",[],0,Hit from cloudfront,1.1 e3da035748daefafd9f8e9678df9f0dc.cloudfront.net (CloudFront),SFO5-M1,oNgpKH5hLYMrg7mZUTZUyg9EBCJsaVwuOSYG0fN9vjd9xbRB5GvZsQ==,92,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$xPVGpVp1bXJ6CPTG1yxbY6r45XM~/70a0/994d/e37e/48e4-accc-b12c97e9d202/6a05cef7-3fd7-4c53-932e-b1074a884292_video_8.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '367346452', 'Connection': 'keep-alive', 'Date': 'Wed, 21 Jun 2023 17:04:24 GMT', 'Last-Modified': 'Thu, 29 Apr 2021 04:07:34 GMT', 'ETag': '""cab418417f3aea5426a95bfd341db6a9-71""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '4530717be1f913534d97440f14ce1ac84bf58d23', 'x-amz-meta-dv-checksum-md5': 'f4e9181c8d94f973302877339a88b6b0', 'x-amz-meta-dv-checksum-sha-256': 'c249edace66219e82b9ca1a975c5d76247a4f83131212871efe86aea5960b4db', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 e3da035748daefafd9f8e9678df9f0dc.cloudfront.net (CloudFront)', 'X-Server-IP': '54.239.210.230', 'X-Amz-Cf-Pop': 'SFO5-M1', 'X-Amz-Cf-Id': 'oNgpKH5hLYMrg7mZUTZUyg9EBCJsaVwuOSYG0fN9vjd9xbRB5GvZsQ==', 'Age': '92'}"
21-06-2023_19:22:38:239631,54.240.130.99,156.2050819999996,"['128.178.122.1', '*', '*', '*', '*', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '213.242.73.73', '4.69.133.234', '*', '154.54.27.169', '154.54.82.245', '154.54.7.129', '154.54.44.169', '154.54.31.89', '154.54.42.97', '154.54.44.141', '154.54.43.14', '38.142.246.122', '15.230.28.23', '15.230.28.175', '*', '*', '*', '*', '*', '*']",[],0,video/mp4,367346452,keep-alive,"Wed, 21 Jun 2023 17:04:24 GMT","Thu, 29 Apr 2021 04:07:34 GMT","""cab418417f3aea5426a95bfd341db6a9-71""",INTELLIGENT_TIERING, ,4530717be1f913534d97440f14ce1ac84bf58d23,f4e9181c8d94f973302877339a88b6b0,c249edace66219e82b9ca1a975c5d76247a4f83131212871efe86aea5960b4db,bytes,AmazonS3,54.239.212.199,"['*', '10.0.2.168', '*', '*', '*', '*', '10.0.2.133', '192.33.209.17', '130.59.36.82', '*', '213.242.73.73', '4.69.133.234', '*', '*', '154.54.47.49', '154.54.6.221', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*']",[],0,Hit from cloudfront,1.1 ac6f379aa95770ae2009545de2541de6.cloudfront.net (CloudFront),SFO20-M2,mbRJwwyEMMKxauaPyWFHP-ZaIz3-giJp9FleCdolWHFUwosQwyxTmA==,1095,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$xPVGpVp1bXJ6CPTG1yxbY6r45XM~/70a0/994d/e37e/48e4-accc-b12c97e9d202/6a05cef7-3fd7-4c53-932e-b1074a884292_video_8.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '367346452', 'Connection': 'keep-alive', 'Date': 'Wed, 21 Jun 2023 17:04:24 GMT', 'Last-Modified': 'Thu, 29 Apr 2021 04:07:34 GMT', 'ETag': '""cab418417f3aea5426a95bfd341db6a9-71""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '4530717be1f913534d97440f14ce1ac84bf58d23', 'x-amz-meta-dv-checksum-md5': 'f4e9181c8d94f973302877339a88b6b0', 'x-amz-meta-dv-checksum-sha-256': 'c249edace66219e82b9ca1a975c5d76247a4f83131212871efe86aea5960b4db', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 ac6f379aa95770ae2009545de2541de6.cloudfront.net (CloudFront)', 'X-Server-IP': '54.239.212.199', 'X-Amz-Cf-Pop': 'SFO20-M2', 'X-Amz-Cf-Id': 'mbRJwwyEMMKxauaPyWFHP-ZaIz3-giJp9FleCdolWHFUwosQwyxTmA==', 'Age': '1095'}"
21-06-2023_19:33:35:404744,54.182.215.109,17.226803000006896,"['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '80.249.210.217', '52.93.112.185', '*', '*', '*', '*', '*', '*', '54.182.215.109']","['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '80.249.210.217', '52.93.112.185', '*', '*', '*', '*', '*', '*', '54.182.215.109']",19, , , , , , , , , , , , , , ,[],[],0,SOCKET FAILED, , , , ,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$xPVGpVp1bXJ6CPTG1yxbY6r45XM~/70a0/994d/e37e/48e4-accc-b12c97e9d202/6a05cef7-3fd7-4c53-932e-b1074a884292_video_8.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,{'X-Cache': 'SOCKET FAILED'}
21-06-2023_19:34:27:081637,54.182.216.113,17.991093999995655,"['128.178.122.1', '10.0.2.168', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '*', '80.249.210.217', '52.93.112.187', '*', '*', '*', '*', '*', '*', '54.182.216.113']","['128.178.122.1', '10.0.2.168', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '*', '80.249.210.217', '52.93.112.187', '*', '*', '*', '*', '*', '*', '54.182.216.113']",19, , , , , , , , , , , , , , ,[],[],0,SOCKET FAILED, , , , ,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$xPVGpVp1bXJ6CPTG1yxbY6r45XM~/70a0/994d/e37e/48e4-accc-b12c97e9d202/6a05cef7-3fd7-4c53-932e-b1074a884292_video_8.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,{'X-Cache': 'SOCKET FAILED'}
21-06-2023_19:35:19:794571,54.182.217.120,17.874347999992324,"['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '*', '130.59.36.82', '130.59.38.193', '80.249.210.217', '*', '*', '*', '*', '*', '*', '*', '54.182.217.120']","['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '*', '130.59.36.82', '130.59.38.193', '80.249.210.217', '*', '*', '*', '*', '*', '*', '*', '54.182.217.120']",19, , , , , , , , , , , , , , ,[],[],0,SOCKET FAILED, , , , ,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$xPVGpVp1bXJ6CPTG1yxbY6r45XM~/70a0/994d/e37e/48e4-accc-b12c97e9d202/6a05cef7-3fd7-4c53-932e-b1074a884292_video_8.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,{'X-Cache': 'SOCKET FAILED'}
21-06-2023_19:36:14:262172,54.182.235.102,21.244749999993928,"['128.178.122.1', '*', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '*', '130.59.36.82', '130.59.38.193', '83.97.88.153', '62.40.98.239', '62.40.98.106', '62.40.98.64', '195.66.225.175', '*', '*', '*', '*', '*', '*', '*', '54.182.235.102']","['128.178.122.1', '*', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '*', '130.59.36.82', '130.59.38.193', '83.97.88.153', '62.40.98.239', '62.40.98.106', '62.40.98.64', '195.66.225.175', '*', '*', '*', '*', '*', '*', '*', '54.182.235.102']",23, , , , , , , , , , , , , , ,[],[],0,SOCKET FAILED, , , , ,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$xPVGpVp1bXJ6CPTG1yxbY6r45XM~/70a0/994d/e37e/48e4-accc-b12c97e9d202/6a05cef7-3fd7-4c53-932e-b1074a884292_video_8.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,{'X-Cache': 'SOCKET FAILED'}
